#SLINE  RLINE  SOU_X  SOU_Y  REC_X  REC_Y  OFFSET  SR_AZIM  REC_ELEV  SOURCE  NODE  SRF_SLOC  FB_PICK  FB_SMTH  EVENT
25130019 366202 287352.90000 7440843.90000 292290.70000 7441253.00000 4954.71812 85.26382 100.00000 2585 1 3050 2203.65039 2203.65039 delete
25130019 366202 287352.90000 7440843.90000 292278.40000 7441274.70000 4944.30368 85.00145 100.00000 2585 2 3044 81.24994 92.33978 delete
25130019 366202 287352.90000 7440843.90000 292266.30000 7441296.50000 4934.20169 84.73703 100.00000 2585 3 3038 92.33978 92.33978 delete
25130019 366202 287352.90000 7440843.90000 292254.30000 7441318.60000 4924.33367 84.46816 100.00000 2585 4 3032 184.71098 139.11723 delete
25130019 366202 287352.90000 7440843.90000 292241.90000 7441340.40000 4914.14624 84.20124 100.00000 2585 5 3026 139.11723 139.11723 delete
25130019 366202 287352.90000 7440843.90000 292228.90000 7441362.00000 4903.44813 83.93479 100.00000 2585 6 3020 127.64838 139.11723 delete
25130019 366202 287352.90000 7440843.90000 292215.59000 7441382.90000 4892.47126 83.67493 100.00000 2585 7 3014 139.18362 128.12895 delete
25130019 366202 287352.90000 7440843.90000 292202.00000 7441404.10000 4881.35174 83.41003 100.00000 2585 8 3008 128.12895 134.33978 delete
25130019 366202 287352.90000 7440843.90000 292188.30000 7441425.20000 4870.21589 83.14494 100.00000 2585 9 3002 134.33978 134.33978 delete
25130019 366202 287352.90000 7440843.90000 292175.70000 7441446.70000 4860.32588 82.87557 100.00000 2585 10 2996 194.76566 192.75394 delete
25130019 366202 287352.90000 7440843.90000 292162.59000 7441468.30000 4850.05085 82.60316 100.00000 2585 11 2990 192.75394 194.76566 delete
25130019 366202 287352.90000 7440843.90000 292150.20000 7441490.10000 4840.62617 82.32839 100.00000 2585 12 2984 2168.76172 2163.77271 delete
25130019 366202 287352.90000 7440843.90000 292138.00000 7441512.10000 4831.52908 82.05052 100.00000 2585 13 2978 2163.77271 2163.77271 delete
25130019 366202 287352.90000 7440843.90000 292126.70000 7441534.60000 4823.50836 81.76726 101.00000 2585 14 2972 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 292115.30000 7441556.70000 4815.44781 81.48759 100.00000 2585 15 2966 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 292103.40000 7441578.80000 4807.00824 81.20608 100.00000 2585 16 2960 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 292090.90000 7441600.70000 4798.06109 80.92482 100.00000 2585 17 2954 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 292078.09000 7441622.00000 4788.82659 80.64899 100.00000 2585 18 2948 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 292064.70000 7441643.10000 4779.09823 80.37330 100.00000 2585 19 2942 3.40000 3.40000 delete
25130019 366202 287352.90000 7440843.90000 292051.50000 7441664.50000 4769.71973 80.09334 100.00000 2581 20 2936 2143.09668 2143.09668 delete
25130019 366202 287352.90000 7440843.90000 292038.59000 7441685.90000 4760.74099 79.81290 100.00000 2585 21 2930 2307.62891 2143.09668 delete
25130019 366202 287352.90000 7440843.90000 292026.20000 7441707.70000 4752.46077 79.52780 100.00000 2585 22 2924 2139.16797 2139.16797 delete
25130019 366202 287352.90000 7440843.90000 292014.50000 7441729.50000 4744.97649 79.24327 100.00000 2585 23 2918 2135.22412 2135.22412 delete
25130019 366202 287352.90000 7440843.90000 292002.50000 7441751.70000 4737.39179 78.95240 100.00000 2585 24 2912 2132.55859 2132.55859 delete
25130019 366202 287352.90000 7440843.90000 291990.00000 7441773.70000 4729.40001 78.66179 101.00000 2585 25 2906 2126.64087 2126.64087 delete
25130019 366202 287352.90000 7440843.90000 291977.50000 7441795.50000 4721.48999 78.37259 100.00000 2585 26 2900 2120.78906 2120.78906 delete
25130019 366202 287352.90000 7440843.90000 291965.40000 7441817.30000 4714.09205 78.08342 100.00000 2585 27 2894 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 291953.09000 7441839.10000 4706.60930 77.79282 100.00000 2584 28 2888 3.20000 3.20000 delete
25130019 366202 287352.90000 7440843.90000 291940.50000 7441860.70000 4698.93137 77.50293 100.00000 2585 29 2882 3.40000 3.40000 delete
25130019 366202 287352.90000 7440843.90000 291927.90000 7441882.40000 4691.38650 77.21089 100.00000 2585 30 2876 3.80000 3.80000 delete
25130019 366202 287352.90000 7440843.90000 291914.90000 7441903.80000 4683.50638 76.92038 101.00000 2585 31 2870 2098.86328 2095.30664 delete
25130019 366202 287352.90000 7440843.90000 291902.00000 7441925.40000 4675.89062 76.62680 100.00000 2588 32 2864 2095.30664 2095.30664 delete
